product_id,title,brand,category,color,size,material,price,rating,description,review_text
1001,NordFields Pink Leggings (L),NordFields,Leggings,Pink,L,Silk,133.54,5.0,"Ideal for casual and workwear | easy-care, machine washable | modern leggings silhouette.",Color is exactly as pictured and quality feels premium.
1002,EcoWear Navy Skirt (XS),EcoWear,Skirt,Navy,XS,Nylon,112.89,4.9,"Ideal for casual and workwear | easy-care, machine washable | modern skirt silhouette.",Perfect for gifting; sizing was spot on and fabric is soft.
1003,Sephora Collection Purple Shorts (M),Sephora Collection,Shorts,Purple,M,Modal,58.45,3.8,Modern shorts silhouette | designed for comfort and durability | made with modal fabric.,Arrived on time with standard packaging.
1004,NordFields White Hoodie (S),NordFields,Hoodie,White,S,Wool,42.32,4.4,"Designed for comfort and durability | made with wool fabric | easy-care, machine washable.",Arrived on time with standard packaging. Basic design; nothing fancy but functional.
1005,EcoWear Beige Jacket (XS),EcoWear,Jacket,Beige,XS,Silk,111.56,3.3,Ideal for casual and workwear | made with silk fabric | designed for comfort and durability.,Too heavy for daily use and the cut is awkward. Fabric feels scratchy and sizing runs small.
1006,AeroDenim Green Jacket (XL),AeroDenim,Jacket,Green,XL,Cotton,157.84,3.8,"Designed for comfort and durability | easy-care, machine washable | ideal for casual and workwear.",Color is exactly as pictured and quality feels premium.
1007,CozyCotton Beige Shorts (XL),CozyCotton,Shorts,Beige,XL,Modal,122.67,3.0,"Easy-care, machine washable | modern shorts silhouette | ideal for casual and workwear.",Too heavy for daily use and the cut is awkward.
1008,AeroDenim Pink Leggings (XL),AeroDenim,Leggings,Pink,XL,Denim,170.22,3.1,"Easy-care, machine washable | modern leggings silhouette | ideal for casual and workwear.",Basic design; nothing fancy but functional.
1009,LuxeThread Black Dress (S),LuxeThread,Dress,Black,S,Polyester,86.18,4.4,"Ideal for casual and workwear | easy-care, machine washable | modern dress silhouette.",Great value for money; washed well without shrinking.
1010,SilkRoute White Blouse (M),SilkRoute,Blouse,White,M,Cotton,118.95,5.0,Ideal for casual and workwear | made with cotton fabric | modern blouse silhouette.,"True to product photos, average quality."
1011,NordFields White Skirt (XS),NordFields,Skirt,White,XS,Linen,141.6,4.7,Designed for comfort and durability | ideal for casual and workwear | made with linen fabric.,"True to product photos, average quality. Arrived on time with standard packaging."
1012,LuxeThread White Dress (XL),LuxeThread,Dress,White,XL,Cotton,71.56,3.6,"Easy-care, machine washable | made with cotton fabric | modern dress silhouette.",Fabric feels scratchy and sizing runs small. Basic design; nothing fancy but functional.
1013,LuxeThread Navy Jeans (M),LuxeThread,Jeans,Navy,M,Wool,167.0,3.6,"Designed for comfort and durability | easy-care, machine washable | ideal for casual and workwear.",Basic design; nothing fancy but functional.
1014,ActiveCore Beige Dress (S),ActiveCore,Dress,Beige,S,Nylon,111.73,2.9,"Made with nylon fabric | ideal for casual and workwear | easy-care, machine washable.",Basic design; nothing fancy but functional.
1015,Sephora Collection White Jacket (M),Sephora Collection,Jacket,White,M,Wool,123.19,2.8,"Easy-care, machine washable | modern jacket silhouette | ideal for casual and workwear.",Fabric feels scratchy and sizing runs small. Color faded after a single wash and stitching came loose.
1016,LuxeThread Green Sweater (L),LuxeThread,Sweater,Green,L,Denim,177.61,3.6,Modern sweater silhouette | ideal for casual and workwear | designed for comfort and durability.,"Love the fit and fabric, super comfortable for all-day wear."
1017,LuxeThread Beige Skirt (XS),LuxeThread,Skirt,Beige,XS,Viscose,103.93,4.4,"Ideal for casual and workwear | designed for comfort and durability | easy-care, machine washable.",Great value for money; washed well without shrinking.
1018,AeroDenim Pink Jacket (XS),AeroDenim,Jacket,Pink,XS,Linen,128.2,3.7,Modern jacket silhouette | made with linen fabric | designed for comfort and durability.,"Love the fit and fabric, super comfortable for all-day wear."
1019,ActiveCore Navy Skirt (M),ActiveCore,Skirt,Navy,M,Wool,101.07,2.9,Ideal for casual and workwear | designed for comfort and durability | made with wool fabric.,Color faded after a single wash and stitching came loose.
1020,CozyCotton Black Jacket (S),CozyCotton,Jacket,Black,S,Linen,23.41,4.2,"Modern jacket silhouette | easy-care, machine washable | made with linen fabric.",Decent everyday wear; fits as expected.
1021,NordFields Black T-Shirt (M),NordFields,T-Shirt,Black,M,Cotton,102.56,4.8,"Modern t-shirt silhouette | made with cotton fabric | easy-care, machine washable.","Perfect for gifting; sizing was spot on and fabric is soft. Good for layering, but not very warm."
1022,NordFields Purple Jeans (M),NordFields,Jeans,Purple,M,Viscose,51.96,4.3,"Easy-care, machine washable | ideal for casual and workwear | modern jeans silhouette.",Color is exactly as pictured and quality feels premium. Perfect for gifting; sizing was spot on and fabric is soft.
1023,AeroDenim Purple Dress (XL),AeroDenim,Dress,Purple,XL,Wool,125.25,3.2,Ideal for casual and workwear | made with wool fabric | modern dress silhouette.,"Good for layering, but not very warm. True to product photos, average quality."
1024,EcoWear Pink T-Shirt (XS),EcoWear,T-Shirt,Pink,XS,Modal,163.03,3.4,"Made with modal fabric | ideal for casual and workwear | easy-care, machine washable.","True to product photos, average quality."
1025,ActiveCore Gray Blouse (XS),ActiveCore,Blouse,Gray,XS,Polyester,36.73,4.0,Made with polyester fabric | designed for comfort and durability | ideal for casual and workwear.,Basic design; nothing fancy but functional. Color is exactly as pictured and quality feels premium.
1026,NordFields Beige Leggings (S),NordFields,Leggings,Beige,S,Modal,120.26,3.4,"Made with modal fabric | ideal for casual and workwear | easy-care, machine washable.",Basic design; nothing fancy but functional.
1027,AeroDenim Green T-Shirt (XL),AeroDenim,T-Shirt,Green,XL,Polyester,83.2,4.4,"Made with polyester fabric | designed for comfort and durability | easy-care, machine washable.",Arrived on time with standard packaging. Color is exactly as pictured and quality feels premium.
1028,NordFields Green Dress (M),NordFields,Dress,Green,M,Modal,161.36,4.7,"Easy-care, machine washable | ideal for casual and workwear | modern dress silhouette.",Color is exactly as pictured and quality feels premium. Decent everyday wear; fits as expected.
1029,ActiveCore Pink Leggings (M),ActiveCore,Leggings,Pink,M,Silk,122.33,3.0,Ideal for casual and workwear | designed for comfort and durability | modern leggings silhouette.,Material wrinkles easily and looks cheap. Overpriced for the quality; thread came out after a week.
1030,AeroDenim Navy Shorts (M),AeroDenim,Shorts,Navy,M,Silk,71.25,3.6,Modern shorts silhouette | designed for comfort and durability | made with silk fabric.,Fabric feels scratchy and sizing runs small.
